Name,team,salary,position,years,height,weight,bloodType,throw.by,batting.by,birth.place,birth.day,背番号,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,出塁率,長打率,OPS,RC27,XR27,防御率,勝利,敗北,セーブ,ホールド,勝率,打者,投球回,被安打,被本塁打,与四球,与死球,奪三振,失点,自責点,WHIP,DIPS
上本　崇司,Carp,800,内野手,6,170,71,A型,右,両,広島,1990-08-22,0,0.25,21,5,4,1,0,0,1,0,0,1,1,0,0.25,0.25,0.5,0.38,0.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
田中　広輔,Carp,14e3,内野手,5,171,85,A型,右,左,神奈川,1989-07-03,2,0.253,79,373,308,78,4,27,15,52,8,68,4,2,0.374,0.36,0.734,5.19,5.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
小窪　哲也,Carp,3300,内野手,11,175,83,O型,右,右,奈良,1985-04-12,4,0.333,3,4,3,1,0,1,0,1,0,1,0,0,0.5,0.333,0.833,8.95,7.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
安部　友裕,Carp,4600,内野手,11,181,81,O型,右,左,福岡,1989-06-24,6,0.179,50,163,145,26,1,11,3,13,1,44,4,1,0.252,0.269,0.521,2.18,2.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
堂林　翔太,Carp,1500,内野手,9,183,88,A型,右,右,愛知,1991-08-17,7,0.211,36,45,38,8,0,5,0,2,0,10,5,0,0.25,0.316,0.566,2.1,2.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
丸　佳浩,Carp,21e3,外野手,11,177,90,AB型,右,左,千葉,1989-04-11,9,0.325,61,266,197,64,18,41,7,66,2,47,0,4,0.496,0.655,1.151,11.59,11.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
岩本　貴裕,Carp,1600,外野手,10,182,96,A型,左,左,広島,1986-04-18,10,0,5,2,2,0,0,0,0,0,0,1,0,1,0,0,0,-4.86,-5.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
福井　優也,Carp,3100,投手,8,178,85,A型,右,右,岡山,1988-02-08,11,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.55,0,2,0,0,0,45,11,11,4,2,0,8,8,8,1.18,6.94
九里　亜蓮,Carp,3800,投手,5,187,92,A型,右,右,鳥取,1991-09-01,12,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.9,4,2,0,0,0.667,274,64.2,71,8,17,1,40,28,28,1.36,4.33
加藤　拓也,Carp,1450,投手,2,176,90,O型,右,右,東京,1994-12-31,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
大瀬良　大地,Carp,6300,投手,5,187,93,AB型,右,右,長崎,1991-06-17,14,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.55,10,4,0,0,0.714,389,98.2,74,14,22,2,82,32,28,0.97,4
今村　猛,Carp,9500,投手,9,183,105,B型,右,右,長崎,1991-04-17,16,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,2,1,0,11,0.667,98,22,20,2,12,1,24,11,11,1.45,3.89
岡田　明丈,Carp,4200,投手,3,185,92,AB型,右,左,東京,1993-10-18,17,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.37,6,4,0,0,0.6,383,90.2,74,9,44,4,81,49,44,1.3,4.18
野村　祐輔,Carp,12e3,投手,7,177,84,AB型,右,右,岡山,1989-06-24,19,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.78,4,2,0,0,0.667,194,47.2,47,5,10,2,19,23,20,1.2,4.44
永川　勝浩,Carp,2e3,投手,16,188,98,O型,右,右,広島,1980-12-14,20,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.04,0,0,0,1,0,33,8.2,6,1,1,0,8,1,1,0.81,3.12
中﨑　翔太,Carp,11500,投手,8,186,100,B型,右,右,鹿児島,1992-08-10,21,NA,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.38,0,0,21,3,0,146,34,30,4,14,0,32,9,9,1.29,4
中村　奨成,Carp,800,捕手,1,181,76,B型,右,右,広島,1999-06-06,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
薮田　和樹,Carp,4800,投手,4,188,88,B型,右,右,広島,1992-08-07,23,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.74,2,1,0,0,0.667,122,24.2,24,2,29,1,18,18,13,2.15,6.36
横山　弘樹,Carp,950,投手,3,187,86,O型,右,左,宮崎,1992-03-12,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
新井　貴浩,Carp,11e3,内野手,20,189,102,B型,右,右,広島,1977-01-30,25,0.225,26,78,71,16,3,16,0,6,0,16,0,2,0.282,0.394,0.676,3.54,3.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
中田　廉,Carp,3300,投手,10,189,95,AB型,右,右,大阪,1990-07-21,26,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.41,0,1,0,2,0,44,7.1,16,2,6,0,6,15,15,3,6.67
會澤　翼,Carp,5e3,捕手,12,177,91,B型,右,右,茨城,1988-04-13,27,0.343,58,208,175,60,9,27,0,21,6,33,3,4,0.424,0.554,0.979,8.62,8.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
床田　寛樹,Carp,700,投手,2,181,85,A型,左,左,兵庫,1995-03-01,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ケムナ　誠,Carp,700,投手,1,192,91,B型,右,右,アメリカ,1995-06-05,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
一岡　竜司,Carp,5300,投手,7,179,86,O型,右,右,福岡,1991-01-11,30,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.33,1,4,1,5,0.2,117,27,27,4,7,0,31,15,13,1.26,3.53
石原　慶幸,Carp,9e3,捕手,17,177,90,A型,右,右,岐阜,1979-09-07,31,0.18,34,57,50,9,1,5,0,4,1,13,1,2,0.25,0.24,0.49,1.41,1.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
白濱　裕太,Carp,650,捕手,15,180,92,A型,右,右,大阪,1985-10-31,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
菊池　涼介,Carp,19e3,内野手,7,171,72,A型,右,右,東京,1990-03-11,33,0.246,79,363,321,79,8,33,4,24,3,66,14,2,0.304,0.386,0.69,4.17,4.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
高橋　昂也,Carp,600,投手,2,181,87,A型,左,左,埼玉,1998-09-27,34,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.43,1,1,0,0,0.5,66,13.1,19,2,6,0,10,11,11,1.88,4.92
下水流　昂,Carp,1e3,外野手,6,178,88,A型,右,右,神奈川,1988-04-23,35,0.254,44,71,63,16,2,9,0,6,0,18,2,4,0.319,0.365,0.684,3.21,3.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
塹江　敦哉,Carp,650,投手,4,178,86,A型,左,左,香川,1997-02-21,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
野間　峻祥,Carp,1600,外野手,4,180,83,B型,右,左,兵庫,1993-01-28,37,0.305,74,221,203,62,4,30,9,13,4,31,1,2,0.359,0.429,0.788,5.98,5.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
赤松　真人,Carp,2700,外野手,14,182,70,O型,右,右,京都,1982-09-06,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
飯田　哲矢,Carp,800,投手,4,182,80,A型,左,左,神奈川,1991-03-28,39,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,16,4.2,2,0,0,0,8,0,0,0.43,-0.31
磯村　嘉孝,Carp,850,捕手,8,178,89,A型,右,右,愛知,1992-11-01,40,0.205,19,43,39,8,1,2,0,1,1,5,2,3,0.244,0.308,0.552,1.39,1.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
藤井　皓哉,Carp,600,投手,4,181,86,AB型,右,左,岡山,1996-07-29,41,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,1,0,0,0,1,37,8,10,1,4,0,10,4,4,1.75,3.37
ジョンソン,Carp,34500,投手,4,193,93,不明,左,左,アメリカ,1984-10-14,42,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.17,6,2,0,0,0.75,335,82.1,72,6,22,5,61,31,29,1.14,3.46
土生　翔平,Carp,550,外野手,7,180,87,O型,右,左,広島,1989-08-16,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
松山　竜平,Carp,6500,外野手,11,176,96,B型,右,左,鹿児島,1985-09-18,44,0.312,71,264,234,73,8,46,0,28,0,30,0,9,0.383,0.496,0.878,6.59,6.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
桒原　樹,Carp,500,内野手,4,180,80,O型,右,左,静岡,1996-07-04,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
高橋　樹也,Carp,700,投手,3,176,81,A型,左,左,岩手,1997-06-21,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
山口　翔,Carp,600,投手,1,181,75,B型,右,右,熊本,1999-04-28,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
アドゥワ　誠,Carp,480,投手,2,196,83,O型,右,右,熊本,1998-10-02,48,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.41,2,1,0,3,0.667,155,34.1,36,0,21,1,16,13,13,1.66,4.02
天谷　宗一郎,Carp,2200,外野手,17,178,84,O型,左,左,福井,1983-11-08,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
髙橋　大樹,Carp,550,外野手,6,181,86,O型,右,右,大阪,1994-05-11,50,0.333,6,16,15,5,0,0,0,1,0,4,0,1,0.375,0.4,0.775,4.71,4.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
鈴木　誠也,Carp,9e3,外野手,6,181,96,A型,右,右,東京,1994-08-18,51,0.294,62,247,201,59,12,44,3,41,2,54,0,2,0.413,0.562,0.975,8.42,8.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
庄司　隼人,Carp,630,内野手,9,175,76,A型,右,左,静岡,1991-06-21,52,0,12,15,14,0,0,0,0,1,0,2,0,0,0.067,0,0.067,-2.14,-1.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
戸田　隆矢,Carp,1800,投手,7,181,80,A型,左,左,兵庫,1993-06-10,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
船越　涼太,Carp,700,捕手,3,178,85,O型,右,右,千葉,1993-11-26,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
エルドレッド,Carp,11500,内野手,7,196,126,不明,右,右,アメリカ,1980-07-12,55,0.213,38,94,80,17,5,14,0,11,3,19,0,3,0.33,0.513,0.842,5.38,5.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
辻　空,Carp,450,投手,6,184,91,O型,右,右,岐阜,1994-04-24,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
オスカル,Carp,900,投手,3,178,80,O型,左,左,ブラジル,1991-03-28,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ジャクソン,Carp,11300,投手,3,185,88,不明,右,右,アメリカ,1987-10-27,58,NA,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.97,2,1,0,20,0.667,143,33.1,29,5,18,0,30,13,11,1.41,4.89
美間　優槻,Carp,550,内野手,6,177,90,B型,右,右,徳島,1994-05-26,59,0.139,30,38,36,5,0,1,0,1,0,11,1,2,0.162,0.139,0.301,-0.75,-0.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
永井　敦士,Carp,500,外野手,1,178,88,B型,右,右,埼玉,2000-01-10,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
坂倉　将吾,Carp,600,捕手,2,176,84,A型,右,左,千葉,1998-05-29,61,0.125,9,9,8,1,0,1,0,1,0,1,0,0,0.222,0.25,0.472,1.61,1.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ヘルウェグ,Carp,3300,投手,1,200,106,不明,右,右,アメリカ,1988-10-29,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
西川　龍馬,Carp,2e3,内野手,3,176,72,O型,右,左,大阪,1994-12-10,63,0.291,50,150,134,39,3,20,0,11,1,29,3,0,0.347,0.44,0.787,5.65,5.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
中村　恭平,Carp,700,投手,8,185,86,O型,左,左,福岡,1989-03-22,64,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.53,0,1,0,0,0,75,14.1,20,0,14,0,11,12,12,2.37,4.31
長井　良太,Carp,450,投手,2,181,80,B型,右,右,兵庫,1999-01-15,65,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.5,0,0,0,0,0,19,3.1,4,1,5,0,0,5,5,2.7,11.52
遠藤　淳志,Carp,480,投手,1,184,74,O型,右,右,茨城,1999-04-08,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
中村　祐太,Carp,900,投手,5,182,88,A型,右,右,東京,1995-08-31,67,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.63,3,4,0,0,0.429,171,36.2,42,6,19,5,22,28,27,1.66,5.93
平岡　敬人,Carp,500,投手,1,186,92,AB型,右,右,兵庫,1995-08-06,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
青木　陸,Carp,450,内野手,3,181,87,B型,右,右,山形,1997-11-11,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
カンポス,Carp,4500,投手,1,188,97,不明,右,右,ベネズエラ,1987-07-17,70,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,4,1,1,0,1,0,0,0,0,2,6.12
バティスタ,Carp,2200,外野手,3,189,107,不明,右,右,ドミニカ共和国,1992-01-18,95,0.269,45,162,145,39,13,26,0,15,0,43,0,4,0.333,0.572,0.906,6.25,6.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
メヒア,Carp,1200,内野手,3,192,98,不明,右,右,ドミニカ共和国,1993-03-10,96,0.294,11,18,17,5,0,1,1,1,0,7,0,1,0.333,0.412,0.745,4.48,4.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
フランスア,Carp,230,投手,1,186,110,不明,左,左,ドミニカ共和国,1993-09-25,97,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,2,0,2,0.333,110,27,14,1,14,1,37,10,9,1.04,2.53
佐藤　祥万,Carp,700,投手,11,172,81,B型,左,左,栃木,1989-08-18,98,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7,0,0,0,0,0,14,3.1,2,0,1,1,4,1,1,0.9,2.52
岡林　飛翔,Carp,240,投手,1,183,85,O型,右,右,三重,1999-08-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
藤井　黎來,Carp,240,投手,1,182,86,A型,右,右,秋田,1999-09-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
佐々木　健,Carp,250,投手,1,189,78,A型,右,右,静岡,1999-04-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
木村　聡司,Carp,360,内野手,4,180,78,B型,右,右,静岡,1996-05-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
タバーレス,Carp,230,投手,1,187,106,不明,右,右,ドミニカ共和国,1994-11-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
上本　博紀,Tigers,4300,内野手,10,173,71,O型,右,右,広島,1986-07-04,00,0.422,20,53,45,19,1,6,4,6,0,8,1,1,0.481,0.556,1.036,11.35,10.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
鳥谷　敬,Tigers,4e4,内野手,15,180,80,B型,右,左,東京,1981-06-26,1,0.214,73,170,140,30,0,13,0,25,1,23,2,4,0.333,0.279,0.612,3.32,3.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
北條　史也,Tigers,2e3,内野手,6,177,78,O型,右,右,大阪,1994-07-29,2,0.339,19,61,59,20,0,6,0,2,0,6,0,2,0.361,0.39,0.75,5.03,4.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
大山　悠輔,Tigers,2500,内野手,2,181,84,O型,右,右,茨城,1994-12-19,3,0.204,60,184,167,34,2,16,0,13,1,31,1,8,0.262,0.311,0.574,2.12,2.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
熊谷　敬宥,Tigers,1e3,内野手,1,173,70,A型,右,両,宮城,1995-11-10,4,0.231,16,18,13,3,0,2,3,2,0,3,3,1,0.333,0.231,0.564,2.12,2.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
西岡　剛,Tigers,7500,内野手,14,182,81,A型,右,両,大阪,1984-07-27,5,0.152,18,36,33,5,0,1,0,3,0,6,0,0,0.222,0.242,0.465,1.52,1.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
糸井　嘉男,Tigers,4e4,外野手,15,188,98,A型,右,左,京都,1981-07-31,7,0.301,70,301,249,75,10,40,15,43,5,38,0,4,0.409,0.482,0.891,7.81,7.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
福留　孝介,Tigers,22e3,外野手,15,182,90,B型,右,左,鹿児島,1977-04-26,8,0.252,71,294,246,62,7,34,0,38,5,53,0,7,0.357,0.407,0.764,5.07,5.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
髙山　俊,Tigers,3800,外野手,3,181,89,O型,右,左,千葉,1993-04-18,9,0.183,41,126,120,22,1,14,0,4,1,18,0,4,0.214,0.25,0.464,0.96,1.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
坂本　誠志郎,Tigers,1600,捕手,3,176,78,O型,右,右,兵庫,1993-11-10,12,0.4,7,7,5,2,0,0,0,2,0,2,0,0,0.571,0.6,1.171,15.98,14.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
岡本　洋介,Tigers,2300,投手,9,177,80,A型,右,右,和歌山,1985-09-27,13,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.35,0,0,0,0,0,32,7.2,9,1,1,0,5,2,2,1.3,3.9
能見　篤史,Tigers,12e3,投手,14,180,72,AB型,左,左,兵庫,1979-05-28,14,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.18,2,2,0,2,0.5,123,28,28,4,11,1,28,19,13,1.39,4.26
横山　雄哉,Tigers,1300,投手,4,183,82,O型,左,左,山形,1994-02-21,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
岩貞　祐太,Tigers,3500,投手,5,183,82,A型,左,左,熊本,1991-09-05,17,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.73,3,4,0,0,0.429,257,62.1,54,4,19,1,58,16,12,1.17,3.06
馬場　皐輔,Tigers,1500,投手,1,180,90,O型,右,右,宮城,1995-05-18,18,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,0,0,0,0,0,23,6,5,1,2,0,5,1,1,1.17,4.62
藤浪　晋太郎,Tigers,12e3,投手,6,197,94,A型,右,右,大阪,1994-04-12,19,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.36,2,2,0,0,0.5,203,43.2,47,1,30,1,43,29,26,1.76,3.58
ロサリオ,Tigers,34e3,内野手,1,180,100,不明,右,右,ドミニカ共和国,1989-02-23,20,0.231,49,200,186,43,4,22,0,11,1,46,0,7,0.275,0.339,0.614,2.63,2.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
岩田　稔,Tigers,5e3,投手,13,179,92,O型,左,左,大阪,1983-10-31,21,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.38,0,1,0,0,0,46,10.2,9,0,4,1,10,5,4,1.22,2.37
藤川　球児,Tigers,2e4,投手,17,185,85,A型,右,左,高知,1980-07-21,22,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,1,1,1,8,0.5,119,30,13,2,15,1,36,11,5,0.93,3.09
江越　大賀,Tigers,1600,外野手,4,182,82,O型,右,両,長崎,1993-03-12,25,0.147,19,34,34,5,1,1,1,0,0,18,0,0,0.147,0.294,0.441,1.05,1.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
呂　彦青,Tigers,800,投手,1,178,72,O型,左,左,台湾,1996-03-10,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
